"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode","thrpt",4,5,"14,313645","4,346798","ops/s"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.alloc.rate","thrpt",4,5,"91,502471","30,688001","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.alloc.rate.norm","thrpt",4,5,"7255149,925390","1621621,447365","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Eden_Space","thrpt",4,5,"94,066402","29,468891","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Eden_Space.norm","thrpt",4,5,"7459779,697387","1577546,903419","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Old_Gen","thrpt",4,5,"3,001991","9,680520","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Old_Gen.norm","thrpt",4,5,"259820,802597","990226,748665","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Survivor_Space","thrpt",4,5,"2,568717","2,045170","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Survivor_Space.norm","thrpt",4,5,"205175,276774","181493,689812","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.count","thrpt",4,5,"13,800000","9,588026","counts"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumCommittedAfterGc","thrpt",4,5,"285487923,200000","14523509,329515","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumUsedAfterGc","thrpt",4,5,"179644323,200000","23554794,896214","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.time","thrpt",4,5,"245,600000","360,920590","ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.gcTimeMillis","thrpt",4,1,"1750,000000",NaN,"ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed","thrpt",4,1,"1929128,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed.after","thrpt",4,1,"1924912,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.total","thrpt",4,1,"20840448,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted","thrpt",4,1,"20840448,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted.after","thrpt",4,1,"20840448,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed","thrpt",4,1,"13606464,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed.after","thrpt",4,1,"13592392,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.after","thrpt",4,1,"13592392,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.settled","thrpt",4,1,"13606464,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.usedHeap","thrpt",4,1,"2050048,000000",NaN,"bytes"
